entry_time,entry_price,exit_time,exit_price,direction,stop_loss,take_profit,exit_reason,pnl,return_pct,fvg_lower,fvg_upper,fvg_middle,cumulative_pnl,equity,is_win,streak
2018-01-02 08:45:00,7592.484126,2018-01-02 15:45:00,7632.902396,Long,7558.3629055,7746.029618250001,EOD,40.41827000000012,0.5323457952528371,7548.84411,7567.881701,7558.3629055,40.41827000000012,10040.41827,True,1
2018-01-03 08:45:00,7684.450334,2018-01-03 15:45:00,7713.153164,Long,7659.8479095,7795.161244249999,EOD,28.702830000000176,0.3735183227485243,7651.354215,7668.341604,7659.8479095,69.1211000000003,10069.1211,True,1
2018-01-04 08:45:00,7730.433439,2018-01-04 09:30:00,7739.512905,Short,7739.512905,7689.575842000004,SL,-9.079465999999229,-0.11745093042510871,7737.755589,7741.270221,7739.512905,60.04163400000107,10060.041634000001,False,2
2018-01-08 08:45:00,7816.541926,2018-01-08 09:00:00,7807.755346,Long,7807.755346,7856.081536,SL,-8.786579999999958,-0.11241006679403,7805.705144,7809.805548,7807.755346,51.25505400000111,10051.255054000001,False,2
2018-01-09 08:45:00,7818.592129,2018-01-09 10:00:00,7841.290794500001,Short,7841.290794500001,7716.448134249995,SL,-22.69866550000097,-0.29031653174244987,7833.822201,7848.759388,7841.290794500001,28.55638850000014,10028.556388500001,False,2
2018-01-12 08:45:00,7880.683963,2018-01-12 15:00:00,7938.016397500001,Long,7867.943422,7938.016397500001,TP,57.332434500001,0.7275058201696472,7866.039663,7869.847181,7867.943422,85.88882300000114,10085.888823000001,True,3
2018-01-16 08:45:00,8010.432467,2018-01-16 09:15:00,7994.9095085,Long,7994.9095085,8080.285780249998,SL,-15.522958499999731,-0.1937842752429228,7981.729638,8008.089379,7994.9095085,70.36586450000141,10070.365864500001,False,4
2018-01-17 08:45:00,7919.930689,2018-01-17 09:00:00,7937.650293000001,Short,7937.650293000001,7840.192470999997,SL,-17.7196040000008,-0.22373433172352855,7932.231902,7943.068684,7937.650293000001,52.64626050000061,10052.646260500002,False,4
2018-01-22 08:45:00,8030.641602,2018-01-22 14:45:00,8090.610010499998,Long,8017.315289,8090.610010499998,TP,59.96840849999808,0.7467449236566999,8016.87596,8017.754618,8017.315289,112.61466899999868,10112.614668999999,True,5
2018-01-25 08:45:00,8112.649686,2018-01-25 15:45:00,8128.758417,Short,8164.344067,7880.024971499999,EOD,-16.10873100000026,-0.19856312824401995,8163.904738,8164.783396,8164.344067,96.50593799999842,10096.505937999998,False,6
