Date,Direction,Entry_Time,Entry_Price,SL_Level,SL_Distance,TP_Level,TP_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result,Asian_High,Asian_Low,Asian_Mid
2018-01-02,SHORT,2018-01-02 02:15:00,7503.739664,7553.739664,50,7353.739664,150,2018-01-02 08:00:00,7539.764644,TIME_EXIT,-36.02498000000014,LOSS,7525.706115,7511.647587,7518.676851
2018-01-03,LONG,2018-01-03 01:45:00,7645.203609,7595.203609,50,7795.203609,150,2018-01-03 08:00:00,7643.446293,TIME_EXIT,-1.7573160000001735,LOSS,7644.324951,7634.07394,7639.1994455
2018-01-04,LONG,2018-01-04 02:15:00,7732.776527,7682.776527,50,7882.776527,150,2018-01-04 08:00:00,7749.178143,TIME_EXIT,16.401616000000104,WIN,7731.019211,7709.638532,7720.3288715
2018-01-05,LONG,2018-01-05 01:45:00,7747.420827,7697.420827,50,7897.420827,150,2018-01-05 08:00:00,7762.6509,TIME_EXIT,15.23007299999972,WIN,7746.835055,7731.897869,7739.366462
2018-01-09,LONG,2018-01-09 02:15:00,7841.730124,7791.730124,50,7991.730124,150,2018-01-09 08:00:00,7855.495766,TIME_EXIT,13.765642000000298,WIN,7841.144352,7824.742735,7832.9435435
2018-01-10,SHORT,2018-01-10 01:45:00,7817.127699,7867.127699,50,7667.127699,150,2018-01-10 08:00:00,7797.504336,TIME_EXIT,19.6233629999997,WIN,7832.943543,7819.763673,7826.353608
2018-01-12,LONG,2018-01-12 01:00:00,7885.955912,7835.955912,50,8035.955912,150,2018-01-12 08:00:00,7865.453891,TIME_EXIT,-20.50202100000024,LOSS,7881.562621,7870.140067,7875.851344000001
2018-01-15,SHORT,2018-01-15 02:00:00,7941.89714,7991.89714,50,7791.89714,150,2018-01-15 08:00:00,7938.089622,TIME_EXIT,3.807517999999618,WIN,7964.742249,7945.704658,7955.2234535
2018-01-16,LONG,2018-01-16 02:00:00,7963.863591,7913.863591,50,8113.863591,150,2018-01-16 08:00:00,7979.38655,TIME_EXIT,15.5229589999999,WIN,7960.641845,7938.96828,7949.8050625
2018-01-17,LONG,2018-01-17 02:00:00,7936.625192,7886.625192,50,8086.625192,150,2018-01-17 08:00:00,7958.591643,TIME_EXIT,21.966450999999324,WIN,7933.696332,7907.043705,7920.3700185
2018-01-19,LONG,2018-01-19 02:45:00,7997.545483,7947.545483,50,8147.545483,150,2018-01-19 08:00:00,8015.41153,TIME_EXIT,17.866047000000435,WIN,7996.373939,7968.256881,7982.31541
2018-01-23,LONG,2018-01-23 01:00:00,8141.938287,8091.938287,50,8291.938287,150,2018-01-23 08:00:00,8122.022039,TIME_EXIT,-19.91624799999954,LOSS,8139.009427,8117.628748,8128.3190875
2018-01-24,LONG,2018-01-24 01:00:00,8169.469573,8119.469573,50,8319.469573,150,2018-01-24 08:00:00,8182.356557,TIME_EXIT,12.886983999999757,WIN,8164.783396,8152.189298,8158.486347
2018-01-25,LONG,2018-01-25 03:30:00,8141.645401,8091.645401,50,8291.645401,150,2018-01-25 08:00:00,8178.256153,TIME_EXIT,36.6107520000005,WIN,8136.373453,8112.649686,8124.5115695
